IST Url,IST Title,OPB Url,Amazon URL,Target URL,Retail Price,OPB Status,OPB Current Price,IST Status,IST Current Price,Amazon Status,Amazon Current Price,Target Status,Target Current Price,Min Current Price,All time Low Price,Target Doc Name,Last Updated
https://www.instocktrades.com/products/sep217205/annotated-sandman-hc-vol-01-(2022-edition),Annotated Sandman HC Vol 01 (2022 Edition),,,,,,,,,,,,,,,,
https://www.instocktrades.com/products/dec190525/anti-hero-tp,Anti Hero TP,,,,,,,,,,,,,,,,
https://www.instocktrades.com/products/aug188381/aquaman-by-geoff-johns-omnibus-hc,Aquaman By Geoff Johns Omnibus HC,https://organicpricedbooks.com/products/aquaman-by-geoff-johns-omnibus,,https://www.target.com/p/aquaman-by-geoff-johns-omnibus-hardcover/-/A-53986194,,,,,,,,,,,,Aquaman by Geoff Johns Omnibus,
https://www.instocktrades.com/products/nov227206/aquaman-the-flash-voidsong-tp,Aquaman & the Flash Voidsong TP,,,,,,,,,,,,,,,,
https://www.instocktrades.com/products/oct227173/aquaman-80-years-of-the-king-of-the-seven-seas-the-deluxe-edition-hc,Aquaman 80 Years of the King of the Seven Seas the Deluxe Edition HC,https://organicpricedbooks.com/products/aquaman-80-years-of-the-king-of-the-seven-seas-the-deluxe-edition-hc-in-store-2-14-2023,,,,,,,,,,,,,,,
https://www.instocktrades.com/products/jun160329/aquaman-a-celebration-of-75-years-hc,Aquaman A Celebration of 75 Years HC,,,,,,,,,,,,,,,,
https://www.instocktrades.com/products/may180564/aquaman-by-peter-david-tp-book-02,Aquaman By Peter David TP Book 02,,,,,,,,,,,,,,,,
https://www.instocktrades.com/products/oct190624/aquaman-death-of-a-prince-dlx-ed-hc,Aquaman Death of A Prince DLX Ed HC,https://organicpricedbooks.com/products/aquaman-death-of-a-prince-dlx-ed-hc,,,,,,,,,,,,,,,
https://www.instocktrades.com/products/mar217109/aquaman-deep-dives-tp,Aquaman Deep Dives TP,,,,,,,,,,,,,,,,
https://www.instocktrades.com/products/jul227218/aquaman-green-arrow-deep-target-tp,Aquaman Green Arrow Deep Target TP,,,,,,,,,,,,,,,,
https://www.instocktrades.com/products/may190475/aquaman-hc-vol-01-unspoken-water,Aquaman HC Vol 01 Unspoken Water,,,,,,,,,,,,,,,,
https://www.instocktrades.com/products/sep190547/aquaman-hc-vol-02-amnesty,Aquaman HC Vol 02 Amnesty,,,,,,,,,,,,,,,,
https://www.instocktrades.com/products/apr170417/aquaman-kingdom-lost-tp,Aquaman Kingdom Lost TP,,,,,,,,,,,,,,,,
https://www.instocktrades.com/products/nov180532/aquaman-suicide-squad-sink-atlantis-tp,Aquaman Suicide Squad Sink Atlantis TP,,,,,,,,,,,,,,,,
https://www.instocktrades.com/products/aug190645/aquaman-sword-of-atlantis-tp-book-01,Aquaman Sword of Atlantis TP Book 01,,,,,,,,,,,,,,,,
https://www.instocktrades.com/products/mar180333/aquaman-tempest-tp,Aquaman Tempest TP,,,,,,,,,,,,,,,,
https://www.instocktrades.com/products/aug170330/aquaman-the-atlantis-chronicles-dlx-ed-hc,Aquaman the Atlantis Chronicles DLX Ed HC,,,,,,,,,,,,,,,,
https://www.instocktrades.com/products/feb227068/aquaman-the-becoming-tp,Aquaman the Becoming TP,,,,,,,,,,,,,,,,
https://www.instocktrades.com/products/dec170382/aquaman-the-legend-of-aquaman-tp,Aquaman the Legend of Aquaman TP,,,,,,,,,,,,,,,,
https://www.instocktrades.com/products/aug180586/aquaman-the-search-for-mera-deluxe-ed-hc,Aquaman the Search for Mera Deluxe Ed HC,,,,,,,,,,,,,,,,
https://www.instocktrades.com/products/oct170363/aquaman-the-waterbearer-tp-new-edition,Aquaman the Waterbearer TP New Edition,,,,,,,,,,,,,,,,
https://www.instocktrades.com/products/oct160290/aquaman-tp-vol-01-the-drowning-(rebirth),Aquaman TP Vol 01 the Drowning (Rebirth),,,,,,,,,,,,,,,,
https://www.instocktrades.com/products/feb130206/aquaman-tp-vol-01-the-trench-(n52),Aquaman TP Vol 01 the Trench (N52),,,,,,,,,,,,,,,,
https://www.instocktrades.com/products/sep190546/aquaman-tp-vol-01-unspoken-water,Aquaman TP Vol 01 Unspoken Water,,,,,,,,,,,,,,,,
https://www.instocktrades.com/products/mar200611/aquaman-tp-vol-02-amnesty,Aquaman TP Vol 02 Amnesty,,,,,,,,,,,,,,,,
https://www.instocktrades.com/products/jan170375/aquaman-tp-vol-02-black-manta-rising-(rebirth),Aquaman TP Vol 02 Black Manta Rising (Rebirth),,,,,,,,,,,,,,,,
https://www.instocktrades.com/products/aug130295/aquaman-tp-vol-02-the-others-(n52),Aquaman TP Vol 02 the Others (N52),,,,,,,,,,,,,,,,
https://www.instocktrades.com/products/may170320/aquaman-tp-vol-03-crown-of-atlantis-(rebirth),Aquaman TP Vol 03 Crown of Atlantis (Rebirth),,,,,,,,,,,,,,,,
https://www.instocktrades.com/products/mar200613/aquaman-tp-vol-03-manta-vs-machine,Aquaman TP Vol 03 Manta Vs Machine,,,,,,,,,,,,,,,,
https://www.instocktrades.com/products/aug140327/aquaman-tp-vol-04-death-of-a-king-(n52),Aquaman TP Vol 04 Death of A King (N52),,,,,,,,,,,,,,,,
https://www.instocktrades.com/products/oct207125/aquaman-tp-vol-04-echoes-of-a-life-lived-well,Aquaman TP Vol 04 Echoes of A Life Lived Well,,,,,,,,,,,,,,,,
https://www.instocktrades.com/products/oct170357/aquaman-tp-vol-04-underworld-(rebirth),Aquaman TP Vol 04 Underworld (Rebirth),,,,,,,,,,,,,,,,
https://www.instocktrades.com/products/apr150283/aquaman-tp-vol-05-sea-of-storms,Aquaman TP Vol 05 Sea of Storms,,,,,,,,,,,,,,,,
https://www.instocktrades.com/products/apr180258/aquaman-tp-vol-05-the-crown-comes-down-rebirth,Aquaman TP Vol 05 the Crown Comes Down Rebirth,,,,,,,,,,,,,,,,
https://www.instocktrades.com/products/sep180535d/aquaman-tp-vol-06-kingslayer,Aquaman TP Vol 06 Kingslayer,,,,,,,,,,,,,,,,
https://www.instocktrades.com/products/aug180590/aquaman-underworld-deluxe-edition-hc,Aquaman Underworld Deluxe Edition HC,,,,,,,,,,,,,,,,
https://www.instocktrades.com/products/aug180587/aquaman-war-for-the-throne-tp-new-ed,Aquaman War for the Throne TP New Ed,,,,,,,,,,,,,,,,
https://www.instocktrades.com/products/aug227223/aquamen-tp,Aquamen TP,,,,,,,,,,,,,,,,
https://www.instocktrades.com/products/aug227224/arkham-city-the-order-of-the-world-tp,Arkham City the Order of the World TP,,,,,,,,,,,,,,,,
https://www.instocktrades.com/products/aug207070/arkhamaniacs-tp,Arkhamaniacs TP,,,,,,,,,,,,,,,,
https://www.instocktrades.com/products/may160301/arrow-the-dark-archer-tp,Arrow the Dark Archer TP,,,,,,,,,,,,,,,,
https://www.instocktrades.com/products/jun160333/art-of-dc-comics-bombshells-hc,Art of DC Comics Bombshells HC,,,,,,,,,,,,,,,,
https://www.instocktrades.com/products/sep170438/astro-city-reflections-tp,Astro City Reflections TP,,,,,,,,,,,,,,,,
https://www.instocktrades.com/products/star13461/astro-city-tarnished-angel-tp-,Astro City Tarnished Angel TP,,,,,,,,,,,,,,,,
https://www.instocktrades.com/products/feb217084/authority-book-2-tp,Authority Book 2 TP,,,,,,,,,,,,,,,,
https://www.instocktrades.com/products/jan237827/authority-tp-book-01-(2023-edition)-(mr),Authority TP Book 01 (2023 Edition) (MR),https://organicpricedbooks.com/products/authority-tp-book-01-2023-edition-mr-in-store-4-25-2023,,,,,,,,,,,,,,,
https://www.instocktrades.com/products/NOV150287/AZRAEL-TP-VOL-01-FALLEN-ANGEL,Azrael TP Vol 01 Fallen Angel,,,,,,,,,,,,,,,,
https://www.instocktrades.com/products/jul207132/basketful-of-heads-hc-(mr),Basketful of Heads HC (MR),,,,,,,,,,,,,,,,
https://www.instocktrades.com/products/jun217194/basketful-of-heads-tp-(mr),Basketful of Heads TP (MR),,,,,,,,,,,,,,,,
